ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
IND,India,Climate Watch,Manufacturing/Construction,CH4,MtCO₂e,3.42,3.18,3.11,3.11,2.93,2.74,2.66,2.57,2.44,2.24,2.22,2.12,1.91,1.77,1.68,1.55,1.46,1.38,1.3,1.29,1.27,1.06,1.04,1.03,1.0,0.95,0.88,0.9,0.83,0.79,0.78,0.73
IND,India,Climate Watch,Transportation,CH4,MtCO₂e,1.65,1.4,1.55,1.49,1.37,1.24,1.16,1.04,0.96,0.91,0.88,0.8,0.73,0.63,0.57,0.5,0.47,0.44,0.4,0.38,0.34,0.32,0.29,0.27,0.26,0.25,0.24,0.21,0.2,0.19,0.18,0.18
IND,India,Climate Watch,Other Fuel Combustion,CH4,MtCO₂e,0.54,0.47,0.5,0.52,0.5,0.48,0.46,0.48,0.39,0.49,0.27,0.59,0.6,0.67,0.18,0.27,0.34,0.34,0.31,0.29,0.26,0.26,0.29,0.22,0.44,0.39,0.37,0.36,0.31,0.36,0.38,0.31
IND,India,Climate Watch,Fugitive Emissions,CH4,MtCO₂e,82.99,85.77,90.85,88.84,84.75,89.76,88.67,85.44,82.59,82.02,80.96,78.36,74.96,65.78,62.56,59.67,57.61,55.94,53.75,51.85,49.99,49.64,49.27,49.04,51.05,48.24,47.63,44.69,44.45,45.4,49.19,47.57
IND,India,Climate Watch,Industrial Processes,CH4,MtCO₂e,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.11,0.09,0.08,0.06,0.05,0.0,0.0,0.0,0.0
IND,India,Climate Watch,Agriculture,CH4,MtCO₂e,513.92,508.79,501.06,500.07,496.22,491.86,489.1,487.65,487.49,484.38,487.57,484.12,481.09,490.36,485.86,476.48,470.03,459.06,454.78,449.37,458.4,456.45,457.74,456.39,452.4,451.53,448.12,446.37,443.69,440.16,437.56,433.94
IND,India,Climate Watch,Waste,CH4,MtCO₂e,71.57,70.67,69.74,68.81,67.88,66.96,66.03,65.09,64.15,63.21,62.27,61.33,60.96,60.6,60.23,59.87,59.5,59.14,58.77,58.41,58.04,57.68,52.25,46.81,41.38,35.94,30.51,25.08,24.47,23.86,23.25,22.64
IND,India,Climate Watch,Bunker Fuels,CH4,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,India,Climate Watch,Land-Use Change and Forestry,CH4,MtCO₂e,5.3,0.92,1.8,3.03,3.66,2.31,1.73,2.39,2.92,4.94,2.08,4.18,5.09,1.57,2.7,1.67,1.51,2.5,1.55,0.31,0.45,1.28,2.25,1.09,1.07,1.25,2.3,2.3,2.3,2.3,2.3,2.3
IND,India,Climate Watch,Total including LUCF,CH4,MtCO₂e,713.14,704.96,702.42,699.66,691.13,689.05,683.39,678.34,674.64,671.86,669.91,664.64,658.11,653.8,645.91,631.79,622.36,609.96,601.69,592.44,599.0,597.34,593.5,585.02,577.58,568.27,559.56,549.2,545.27,541.86,542.3,536.18
IND,India,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,2430.83,2200.44,2424.0,2457.83,2308.34,2194.72,2157.5,2146.34,1971.35,1908.49,1755.71,1659.4,1564.32,1424.32,1336.67,1215.15,1136.41,1085.61,1011.71,985.4,953.47,937.79,901.26,836.2,819.18,774.0,737.78,685.84,651.23,626.11,606.86,563.22
IND,India,Climate Watch,Energy,CO2,MtCO₂e,2281.83,2077.54,2280.3,2318.83,2187.34,2071.42,2040.0,2030.54,1863.55,1808.29,1664.4,1573.37,1483.05,1351.08,1268.34,1150.24,1076.72,1030.07,960.83,936.29,906.73,891.83,856.67,797.17,781.76,739.92,706.68,657.3,624.63,600.95,582.36,540.87
IND,India,Climate Watch,Electricity/Heat,CO2,MtCO₂e,1223.37,1116.26,1228.08,1255.82,1154.9,1096.32,1103.12,1123.43,1006.04,989.11,860.23,819.68,789.51,721.88,703.28,639.33,599.57,584.73,536.41,513.58,505.36,491.24,459.65,418.14,402.1,388.13,364.89,319.86,306.8,278.57,258.97,231.92
IND,India,Climate Watch,Building,CO2,MtCO₂e,129.22,124.57,123.25,118.94,114.19,111.86,107.82,103.75,99.59,97.45,96.72,92.71,89.56,85.39,83.34,81.34,79.92,79.03,76.71,74.62,71.32,72.68,73.44,70.4,72.9,67.27,65.38,63.49,58.88,58.56,59.28,56.41
IND,India,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,559.39,501.03,548.9,564.68,555.1,523.64,502.72,499.88,468.42,431.07,442.46,397.49,355.09,308.18,295.26,260.31,232.62,208.26,198.42,207.67,193.98,192.27,187.8,182.58,173.13,156.92,156.7,164.34,154.53,156.65,153.2,149.11
IND,India,Climate Watch,Transportation,CO2,MtCO₂e,295.09,268.66,308.46,305.69,291.23,269.39,257.75,235.75,226.26,221.52,209.29,192.92,178.71,163.21,142.98,120.65,115.4,108.05,99.53,97.74,94.92,95.09,93.31,88.78,85.8,83.8,78.29,70.81,68.55,68.55,66.93,64.38
IND,India,Climate Watch,Other Fuel Combustion,CO2,MtCO₂e,71.93,64.13,69.09,71.11,69.02,66.22,64.34,64.09,59.89,65.43,52.97,68.81,68.24,70.5,41.62,46.84,47.47,48.2,47.94,41.05,39.27,38.54,40.38,35.1,45.13,41.62,39.07,36.92,32.13,33.03,33.08,28.3
IND,India,Climate Watch,Fugitive Emissions,CO2,MtCO₂e,2.82,2.89,2.53,2.59,2.91,3.99,4.26,3.64,3.36,3.7,2.73,1.76,1.94,1.92,1.87,1.77,1.73,1.8,1.82,1.63,1.89,2.01,2.08,2.17,2.69,2.17,2.34,1.88,3.73,5.59,10.9,10.75
IND,India,Climate Watch,Bunker Fuels,CO2,MtCO₂e,10.82,9.98,17.36,17.98,17.11,16.37,15.24,14.29,13.86,13.51,14.4,13.97,13.28,12.51,12.75,11.29,9.72,9.07,8.08,7.39,7.29,7.21,7.01,6.67,6.56,6.62,6.35,5.83,5.4,4.94,4.86,5.11
IND,India,Climate Watch,Industrial Processes,CO2,MtCO₂e,149.0,122.9,143.7,139.0,121.0,123.3,117.5,115.8,107.8,100.2,91.31,86.03,81.27,73.24,68.33,64.91,59.69,55.54,50.88,49.11,46.74,45.96,44.59,39.03,37.42,34.08,31.1,28.54,26.6,25.16,24.5,22.35
IND,India,Climate Watch,Land-Use Change and Forestry,CO2,MtCO₂e,-35.63,-35.63,-35.63,-35.59,-35.59,-35.59,-66.16,-66.16,-66.16,-66.16,-66.16,3.65,3.66,3.65,3.65,3.65,3.65,3.67,3.67,3.68,3.68,-222.41,-222.39,-222.37,-222.37,-222.37,-222.37,-222.39,-222.39,-222.39,-222.39,-222.39
IND,India,Climate Watch,Total including LUCF,CO2,MtCO₂e,2395.19,2164.8,2388.37,2422.24,2272.75,2159.12,2091.34,2080.18,1905.19,1842.33,1689.55,1663.05,1567.98,1427.97,1340.33,1218.8,1140.06,1089.27,1015.38,989.08,957.15,715.38,678.87,613.83,596.81,551.62,515.41,463.45,428.84,403.72,384.47,340.83
IND,India,Climate Watch,Total excluding LUCF,N2O,MtCO₂e,279.36,281.94,271.08,262.37,255.61,250.7,251.86,247.79,245.02,244.72,246.49,238.62,229.98,225.01,220.32,210.8,201.23,191.6,184.97,177.76,183.75,179.57,182.86,179.82,175.91,170.71,165.72,162.21,156.51,152.96,148.81,144.66
IND,India,Climate Watch,Energy,N2O,MtCO₂e,23.32,21.62,22.9,23.05,21.97,20.73,20.28,19.78,18.68,18.08,17.09,16.41,15.53,14.64,13.9,12.96,12.44,11.98,11.43,11.26,11.06,10.84,10.57,10.28,10.14,9.93,9.55,9.21,8.94,8.68,8.52,8.24
IND,India,Climate Watch,Electricity/Heat,N2O,MtCO₂e,6.31,5.77,6.19,6.32,5.86,5.4,5.24,5.36,4.76,4.61,3.94,3.7,3.51,3.19,3.07,2.78,2.57,2.48,2.23,2.13,2.1,2.04,1.91,1.75,1.69,1.64,1.54,1.35,1.3,1.17,1.09,0.97
IND,India,Climate Watch,Building,N2O,MtCO₂e,5.2,5.2,5.21,5.22,5.22,5.23,5.24,5.25,5.25,5.26,5.26,5.19,5.14,5.09,5.04,4.99,4.94,4.89,4.86,4.82,4.77,4.82,4.79,4.75,4.75,4.7,4.66,4.63,4.59,4.56,4.54,4.51
IND,India,Climate Watch,Manufacturing/Construction,N2O,MtCO₂e,5.36,4.95,4.86,4.87,4.58,4.26,4.12,3.97,3.72,3.37,3.35,3.2,2.88,2.66,2.55,2.37,2.19,2.05,1.92,1.94,1.91,1.76,1.73,1.72,1.67,1.57,1.47,1.5,1.38,1.33,1.3,1.22
IND,India,Climate Watch,Transportation,N2O,MtCO₂e,6.24,5.5,6.44,6.43,6.1,5.65,5.49,5.03,4.78,4.65,4.39,4.12,3.8,3.49,3.12,2.69,2.61,2.42,2.28,2.26,2.17,2.11,2.03,1.97,1.91,1.89,1.77,1.63,1.58,1.52,1.5,1.45
IND,India,Climate Watch,Other Fuel Combustion,N2O,MtCO₂e,0.21,0.19,0.2,0.21,0.2,0.19,0.19,0.18,0.17,0.19,0.15,0.2,0.2,0.21,0.11,0.13,0.13,0.14,0.14,0.11,0.1,0.1,0.11,0.09,0.13,0.11,0.11,0.1,0.09,0.09,0.09,0.08
IND,India,Climate Watch,Fugitive Emissions,N2O,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,India,Climate Watch,Industrial Processes,N2O,MtCO₂e,3.04,3.01,2.98,2.95,2.92,2.88,2.85,2.77,2.68,2.59,2.5,2.42,2.56,2.7,2.84,2.98,3.12,3.26,3.4,3.53,3.67,3.81,3.63,3.44,3.25,3.06,2.87,2.68,2.63,2.57,2.51,2.45
IND,India,Climate Watch,Agriculture,N2O,MtCO₂e,238.17,242.63,230.69,222.02,216.54,213.06,214.86,211.55,210.13,210.7,213.71,206.79,199.78,196.47,193.3,185.48,177.19,168.8,163.48,157.21,164.17,160.98,165.03,162.78,159.51,155.02,150.9,148.23,142.91,139.72,135.83,132.07
IND,India,Climate Watch,Waste,N2O,MtCO₂e,14.84,14.68,14.52,14.35,14.19,14.02,13.86,13.69,13.52,13.35,13.18,13.01,12.11,11.2,10.29,9.39,8.48,7.57,6.66,5.76,4.85,3.94,3.63,3.32,3.01,2.7,2.4,2.09,2.04,1.99,1.95,1.9
IND,India,Climate Watch,Bunker Fuels,N2O,MtCO₂e,0.09,0.08,0.14,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04
IND,India,Climate Watch,Land-Use Change and Forestry,N2O,MtCO₂e,5.77,1.0,1.96,3.3,3.98,2.52,1.89,2.6,3.18,5.38,2.26,4.55,5.54,1.71,2.94,1.82,1.65,2.72,1.69,0.33,0.49,0.46,0.81,0.39,0.38,0.44,2.31,2.31,2.31,2.31,2.31,2.31
IND,India,Climate Watch,Total including LUCF,N2O,MtCO₂e,285.13,282.94,273.05,265.67,259.59,253.22,253.74,250.4,248.2,250.1,248.76,243.17,235.52,226.72,223.26,212.63,202.88,194.33,186.66,178.1,184.24,180.03,183.68,180.21,176.29,171.15,168.04,164.53,158.82,155.27,151.13,146.98
